 raw       v
  182   0.021
  165   0.022
  178   0.023
  173   0.022
  174   0.021
  175   0.022
  173   0.024
  175   0.023
  184   0.022
  173   0.022
  182   0.022
  176   0.023
  177   0.023
  181   0.022
  178   0.021
  165   0.022
  172   0.023
  178   0.022
  171   0.022
  171   0.021
  177   0.022
  182   0.022
  181   0.021
  176   0.023
  172   0.022
  177   0.022
  184   0.022
  165   0.023
  158   0.021
  173   0.023
  189   0.023
  182   0.021
  173   0.022
  174   0.022
  178   0.023
  191   0.022
  180   0.021
  177   0.022
  180   0.023
  183   0.022
  179   0.022
  168   0.022
  159   0.022
  176   0.023
  180   0.023
  178   0.023
  173   0.022
  172   0.021
  174   0.023
  175   0.023
  177   0.022
  169   0.023
  180   0.022
  178   0.024
  179   0.022
  178   0.022
  171   0.022
  178   0.022
  191   0.022
  202   0.025
  193   0.024
  163   0.021
  165   0.021
  166   0.021
  160   0.040
15457   1.926
 6467   0.812
 5802   0.722
17004   2.121
15589   1.950
13448   1.659
11062   1.386
11062   1.381
11005   1.377
 9897   1.239
10364   1.294
10494   1.312
 8001   1.017
21868   2.727
10143   1.206
 9607   1.225
14941   1.875
15170   1.888
14049   1.757
13701   1.713
13563   1.702
13611   1.704
13656   1.699
13604   1.697
13604   1.705
13617   1.702
13650   1.693
13591   1.698
13618   1.703
13612   1.702
13575   1.695
13544   1.697
13575   1.696
13486   1.683
13358   1.673
12788   1.603
12342   1.536
11688   1.455
10096   1.261
10128   1.268
13399   1.669
13663   1.707
13680   1.711
13690   1.715
13732   1.717
13718   1.717
13733   1.722
13805   1.719
13765   1.726
13773   1.722
13668   1.710
13693   1.708
13622   1.704
13477   1.693
13539   1.694
13603   1.699
13582   1.697
13555   1.697
13500   1.689
13584   1.702
13552   1.702
13606   1.702
13562   1.695
13554   1.693
13379   1.677
13537   1.691
13483   1.683
13488   1.688
13513   1.693
15215   1.896
15053   1.884
15032   1.875
15004   1.874
15022   1.882
15034   1.878
15007   1.883
15020   1.879
15016   1.879
14968   1.874
14998   1.877
14984   1.878
14989   1.870
15024   1.876
14985   1.878
15014   1.876
14981   1.881
14992   1.872
15001   1.877
14980   1.878
15017   1.876
15018   1.873
14960   1.873
14959   1.875
14969   1.872
15001   1.872
14978   1.875
14998   1.874
14971   1.874
15000   1.875
14987   1.877
14998   1.869
14986   1.868
15017   1.873
14989   1.874
15040   1.883
14955   1.872
14999   1.874
14966   1.875
15016   1.876
15039   1.876
14996   1.877
15018   1.874
15021   1.878
15039   1.883
15081   1.888
15065   1.887
15101   1.876
  168   0.022
  168   0.021
  167   0.020
  163   0.020
  164   0.021
  169   0.022
  177   0.024
  176   0.022
  176   0.023
  177   0.023
  183   0.024
  185   0.023
  180   0.021
  179   0.022
  177   0.024
  187   0.023
  183   0.023
  182   0.023
  181   0.022
  183   0.024
  183   0.023
  182   0.023
  181   0.023
  174   0.023
  190   0.024
  187   0.024
  187   0.022
  174   0.022
  175   0.023
  179   0.024
  173   0.023
  182   0.022
  170   0.022
  172   0.023
  182   0.023
  188   0.023
  196   0.022
  175   0.022
  183   0.022
  179   0.022
  185   0.023
  182   0.022
  181   0.022
  177   0.023
  185   0.022
  184   0.023
  188   0.021
  175   0.022
  175   0.023
  184   0.023
  185   0.022
  182   0.023
  181   0.022
  181   0.022
  184   0.023
  182   0.023
  180   0.022
  182   0.023
  175   0.023
  197   0.023
  192   0.023
  180   0.022
  176   0.022
  180   0.024
  189   0.024
  181   0.023
  193   0.022
  173   0.022
  169   0.023
  185   0.024
  184   0.023
  178   0.022
  179   0.023
  179   0.023
  182   0.024
  183   0.023
  180   0.022
  178   0.022
  177   0.022
  189   0.023
  188   0.023
  187   0.023
  177   0.022
  173   0.022
  183   0.023
  186   0.023
  185   0.022
  175   0.022
  176   0.022
  178   0.024
  181   0.024
  185   0.023
  178   0.022
  179   0.022
  173   0.023
  178   0.024
  181   0.023
  183   0.023
  183   0.023
  177   0.023
  182   0.023
  186   0.022
  182   0.022
  182   0.022
  187   0.023
  175   0.022
  187   0.022
  181   0.022
  176   0.021
  177   0.023
  186   0.022
  191   0.023
  177   0.023
  173   0.022
  170   0.023
  184   0.023
  184   0.023
  195   0.022
