  raw       v
20912   2.616
20936   2.613
20893   2.608
20909   2.613
20907   2.616
20874   2.615
20893   2.614
20891   2.612
20866   2.614
20923   2.612
20893   2.616
20889   2.614
20901   2.609
20872   2.610
20854   2.612
20916   2.613
20921   2.618
20917   2.616
20904   2.612
20912   2.606
20850   2.610
20884   2.612
20873   2.608
20860   2.608
20880   2.610
13389   1.674
20876   2.612
20934   2.614
13410   1.676
13392   1.677
13407   1.672
13399   1.674
13400   1.677
13409   1.672
13395   1.677
13407   1.676
13402   1.676
13421   1.676
13428   1.678
13420   1.677
13414   1.671
13416   1.677
13380   1.679
13337   1.678
13384   1.677
13380   1.674
13426   1.672
13413   1.678
13410   1.666
13350   1.676
13408   1.677
13419   1.678
13417   1.678
13416   1.676
13407   1.677
13409   1.675
13433   1.677
20985   1.921
20977   2.624
21008   2.628
21004   2.621
21040   2.624
20967   2.622
21012   2.623
21011   2.625
20954   2.621
20976   2.624
20974   2.624
21001   2.626
20977   2.620
20978   2.623
20914   2.613
20661   2.593
23333   2.934
22914   2.679
  155   0.019
  149   0.019
 7837   1.100
 6172   0.764
 8852   1.104
11741   1.468
11809   1.477
12100   1.117
16177   2.008
16124   2.023
16163   2.022
10879   1.360
10888   1.364
11086   1.385
11069   1.380
11014   1.379
11044   1.384
11042   1.379
11020   1.377
11008   1.365
10916   1.372
10981   1.376
11023   1.381
10993   1.373
11004   1.372
10996   1.367
10957   1.374
10993   1.377
10988   1.369
10986   1.370
10978   1.370
10999   1.365
10948   1.375
10961   1.369
10956   1.369
 3492   0.438
 3498   0.437
 3327   0.437
 3477   0.435
 3465   0.434
 3477   0.435
 3478   0.434
 3466   0.427
 3443   0.432
 3449   0.431
11041   1.378
11043   1.366
10980   1.371
10953   1.360
10919   1.367
 8758   1.101
 8972   1.123
10917   1.364
10932   1.367
10926   1.362
10981   1.372
10963   1.369
10953   1.367
10946   1.367
10963   1.369
10852   1.363
10933   1.368
11020   1.371
10983   1.371
10939   1.371
10953   1.367
10935   1.365
10947   1.369
10928   1.365
10950   1.373
10942   1.366
10911   1.361
10866   1.370
10943   1.370
10915   1.370
10946   1.372
10907   1.152
 8638   1.083
 8736   1.099
 8791   1.099
 8842   1.108
 8818   1.105
 8826   1.103
 8806   1.107
 8740   1.110
10993   1.366
11004   1.374
11001   1.375
10941   1.353
10983   1.372
10965   1.370
10992   1.368
11021   1.378
11002   1.373
10993   1.370
10990   1.375
11007   1.375
11025   1.375
